Date,Close/Last,Volume,Open,High,Low
01/30/2026,338.53,21740200,334.46,340.29,332.64
01/29/2026,338.66,24548300,340.35,342.29,326.72
01/28/2026,336.28,17538480,336.61,337.63,332.13
01/27/2026,335.0,16080920,335.63,338.215,333.75
01/26/2026,333.59,18502450,328.2,336.3499,327.49
01/23/2026,328.43,19110590,332.655,334.03,327.97
01/22/2026,330.84,19902110,334.265,335.21,328.88
01/21/2026,328.38,22791650,321.095,332.725,319.5401
01/20/2026,322.16,27169850,321.24,328.09,320.89
01/16/2026,330.34,21868620,334.935,335.2399,328.17
01/15/2026,333.16,16424860,338.055,338.13,331.29
01/14/2026,336.31,17839330,334.985,337.03,331.14
01/13/2026,336.43,24616700,335.28,341.2,334.35
01/12/2026,332.73,23893760,326.5,334.44,325.51
01/09/2026,329.14,17917730,327.49,331.48,326.25
01/08/2026,326.01,21789610,329.265,330.54,321.99
01/07/2026,322.43,24681830,314.57,326.465,314.5
01/06/2026,314.55,18989910,317.31,321.56,312.34
01/05/2026,317.32,19934020,317.695,319.25,315.249
01/02/2026,315.32,22043700,317.59,322.9138,310.65
12/31/2025,313.8,10821500,313.37,315.39,312.2
12/30/2025,314.55,11052500,313.41,317.7,313.25
12/29/2025,314.39,12317690,312.82,314.97,311.9
12/26/2025,314.96,6730944,315.92,316.5599,313.72
12/24/2025,315.67,6138155,316.15,316.29,313.32
12/23/2025,315.68,13961420,311.135,316.3,310.75
12/22/2025,311.33,14091370,311.225,311.7,306.59
12/19/2025,308.61,45234430,303.27,308.99,302.34
12/18/2025,303.75,21040500,303.06,305.26,300.63
12/17/2025,298.06,29120360,309.01,309.195,297.45
12/16/2025,307.73,21285170,306.0,311.845,303.83
12/15/2025,309.32,22028950,312.625,312.7,305.74
12/12/2025,310.52,21264790,314.795,316.14,306.96
12/11/2025,313.7,25912060,321.1,321.99,309.88
12/10/2025,321.0,22764500,316.62,321.87,315.4
12/09/2025,317.75,14151340,313.1,318.7089,312.62
12/08/2025,314.45,22006890,321.03,321.23,311.91
12/05/2025,322.09,15719850,320.0,323.83,319.98
12/04/2025,318.39,20831600,323.045,323.099,315.59
12/03/2025,320.62,32285100,316.03,322.04,314.28
12/02/2025,316.02,24668180,316.9,318.6,314.22
12/01/2025,315.12,28520590,317.475,319.63,313.98
11/28/2025,320.12,19695810,323.43,326.88,316.94
11/26/2025,320.28,29839580,320.78,324.99,317.2
11/25/2025,323.64,50899310,326.8,328.67,317.8164
11/24/2025,318.47,55311840,311.01,319.8,309.4001
11/21/2025,299.65,43670590,296.87,303.96,294.36
11/20/2025,289.98,34801370,304.74,306.89,289.17
11/19/2025,292.99,43123600,287.685,304.25,287.67
11/18/2025,284.96,29702230,288.485,289.435,279.01
11/17/2025,285.6,34286090,286.4,294.52,284.23
11/14/2025,276.98,18330490,271.895,279.15,271.41
11/13/2025,279.12,18060220,282.985,283.51,278.0
11/12/2025,287.43,16998820,292.085,292.36,284.38
11/11/2025,291.74,14156730,288.2,292.34,287.88
11/10/2025,290.59,19508190,285.265,291.46,283.54
11/07/2025,279.7,21991130,284.21,284.5,275.74
11/06/2025,285.34,23103780,285.735,288.81,281.62
11/05/2025,284.75,20063220,279.38,286.7,277.88
11/04/2025,278.06,18123710,277.065,281.8336,276.865
11/03/2025,284.12,19691750,282.42,285.94,280.3701
10/31/2025,281.82,29932810,283.205,286.285,277.523
10/30/2025,281.9,48570030,291.72,291.93,280.45
10/29/2025,275.17,26287850,268.61,275.97,268.43
10/28/2025,268.43,20101160,270.2,271.38,267.17
10/27/2025,269.93,22987660,265.36,270.8,264.94
10/24/2025,260.51,18405970,257.3,262.51,256.1
10/23/2025,253.73,13241320,253.7,255.86,252.7683
10/22/2025,252.53,19650240,255.01,257.18,250.451
10/21/2025,251.34,27836430,255.25,255.38,244.67
10/20/2025,257.02,13726830,255.23,257.88,254.6
10/17/2025,253.79,17653830,251.35,254.88,248.59
10/16/2025,251.88,18945990,252.465,257.58,250.67
10/15/2025,251.71,16048090,248.085,252.76,246.79
10/14/2025,246.19,17705370,241.755,248.025,241.1775
10/13/2025,244.64,12464970,241.03,244.99,240.75
10/10/2025,237.49,22449080,242.16,244.84,236.685
10/09/2025,242.21,19375720,245.06,245.555,239.6801
10/08/2025,245.46,14136490,246.2,247.26,245.09
10/07/2025,247.13,13811170,248.93,251.55,246.81
10/06/2025,251.51,18309030,245.78,252.2,245.69
10/03/2025,246.45,19941380,245.23,247.1177,242.47
10/02/2025,246.43,20657520,245.64,247.635,243.105
10/01/2025,245.54,23967660,241.18,247.15,239.2
09/30/2025,243.55,22541190,243.06,243.675,239.5707
09/29/2025,244.36,23157250,248.275,251.6483,243.2
09/26/2025,247.18,16594610,247.785,250.12,246.64
09/25/2025,246.57,17379790,244.84,247.315,241.65
09/24/2025,247.83,16958510,252.15,252.96,247.22
09/23/2025,252.34,17521090,253.655,254.77,251.09
09/22/2025,252.88,20078980,254.78,256.31,250.81
09/19/2025,255.24,41616840,253.4,256.7,252.0675
09/18/2025,252.33,21166360,251.86,254.14,250.11
09/17/2025,249.85,20491320,251.46,251.95,246.58
09/16/2025,251.42,24493510,252.33,253.23,249.715
09/15/2025,251.76,29935150,245.14,252.7499,244.98
09/12/2025,241.38,14536590,240.8,242.4227,238.5
09/11/2025,240.78,21308610,240.14,242.57,236.58
09/10/2025,239.56,19990140,239.25,242.08,238.11
09/09/2025,239.94,22854790,234.19,240.59,233.38
