Date,Close/Last,Volume,Open,High,Low
01/30/2026,621.87,65650710,625.71,628.256,619.2975
01/29/2026,629.43,79944050,632.65,633.67,618.27
01/28/2026,633.22,50691690,635.46,636.60,631.81
01/27/2026,631.13,38997210,628.91,632.0427,627.34
01/26/2026,625.46,35983010,623.21,627.61,622.12
01/23/2026,622.72,43645830,619.73,625.3999,618.65
01/22/2026,620.76,42254760,622.35,622.46,617.78
01/21/2026,616.28,79837880,609.47,620.42,607.8635
01/20/2026,608.06,81988900,610.53,615.055,607.05
01/16/2026,621.26,61058090,625.50,626.08,618.88
01/15/2026,621.78,53934890,626.60,630.00,620.75
01/14/2026,619.55,72598700,622.24,623.45,614.56
01/13/2026,626.24,44481380,627.27,629.47,623.695
01/12/2026,627.17,37388650,622.31,628.845,622.26
01/09/2026,626.65,49688730,621.41,627.89,619.06
01/08/2026,620.47,50435940,623.03,623.42,617.80
01/07/2026,624.02,44880340,623.04,627.94,622.56
01/06/2026,623.42,43137520,619.23,624.0213,618.54
01/05/2026,617.99,46828360,619.32,620.81,616.72
01/02/2026,613.12,61859160,620.06,622.85,610.15
12/31/2025,614.31,40746530,619.65,619.96,614.05
12/30/2025,619.43,31226750,619.84,622.18,619.215
12/29/2025,620.87,32458310,620.10,622.78,618.73
12/26/2025,623.89,28959780,624.66,625.515,623.14
12/24/2025,623.93,18468710,621.99,624.28,621.72
12/23/2025,622.11,41120450,618.20,622.41,617.78
12/22/2025,619.21,43703100,621.35,621.65,617.77
12/19/2025,617.05,60369830,611.95,617.62,611.87
12/18/2025,609.11,78875820,609.80,612.93,606.92
12/17/2025,600.41,70654330,613.06,613.65,600.28
12/16/2025,611.75,55152820,608.26,613.51,606.9101
12/15/2025,610.54,49538200,618.37,618.42,609.32
12/12/2025,613.62,75158730,622.08,623.54,611.36
12/11/2025,625.58,58272840,623.82,625.78,617.72
12/10/2025,627.61,55031380,623.85,629.21,620.99
12/09/2025,625.05,37156000,623.01,625.87,621.00
12/08/2025,624.28,43462410,627.21,628.84,621.69
12/05/2025,625.48,53614170,624.38,628.92,623.71
12/04/2025,622.94,47067750,624.93,624.94,619.54
12/03/2025,623.52,47841630,619.62,624.22,618.03
12/02/2025,622.00,54541830,619.46,623.75,617.59
12/01/2025,617.17,40957590,613.63,619.4401,612.52
11/28/2025,619.25,23034390,616.11,619.32,615.4174
11/26/2025,614.27,42393600,612.51,616.19,610.39
11/25/2025,608.89,57560870,603.51,610.2601,597.32
11/24/2025,605.16,60168150,595.28,606.68,595.16
11/21/2025,590.07,103344200,587.47,596.98,580.74
11/20/2025,585.67,117743200,611.62,614.03,584.75
11/19/2025,599.87,73111490,597.07,606.16,594.59
11/18/2025,596.31,83327280,599.62,602.31,591.34
11/17/2025,603.66,63850370,606.30,612.48,599.87
11/14/2025,608.86,80087290,599.55,613.35,597.17
11/13/2025,608.40,71333630,617.54,618.12,606.08
11/12/2025,621.08,47444380,624.84,624.86,617.81
11/11/2025,621.57,44868840,620.57,622.72,617.52
11/10/2025,623.23,55919930,618.92,624.31,616.89
11/07/2025,609.74,81835390,608.31,609.95,598.67
11/06/2025,611.67,72115130,621.79,622.04,610.30
11/05/2025,623.28,48688480,618.49,626.60,617.21
11/04/2025,619.25,63830770,623.28,626.95,618.455
11/03/2025,632.08,37154310,635.11,635.82,629.85
10/31/2025,629.07,66305150,634.17,634.20,626.69
10/30/2025,626.05,61628620,632.17,633.50,625.94
10/29/2025,635.77,67422810,635.59,637.01,630.25
10/28/2025,632.92,61195730,630.36,634.68,629.25
10/27/2025,628.09,54098610,624.52,628.55,624.03
10/24/2025,617.10,47632470,615.99,618.42,615.13
10/23/2025,610.58,42844300,604.91,611.37,604.52
10/22/2025,605.49,61478800,610.82,611.41,599.74
10/21/2025,611.38,44538160,611.64,612.7213,609.32
10/20/2025,611.54,45761700,607.14,612.80,607.065
10/17/2025,603.93,72024870,597.95,605.51,596.37
10/16/2025,599.99,70981960,605.11,608.31,595.50
10/15/2025,602.22,62805460,604.01,606.70,595.93
10/14/2025,598.00,69203190,595.31,602.69,590.13
10/13/2025,602.01,65872580,599.68,602.95,597.23
10/10/2025,589.50,97614780,611.40,613.18,589.05
10/09/2025,610.70,45550960,611.48,611.61,607.48
10/08/2025,611.44,50629750,605.41,611.75,605.26
10/07/2025,604.51,58209460,609.02,609.71,603.03
10/06/2025,607.71,41962120,608.45,609.36,605.97
10/03/2025,603.18,46482100,606.51,607.3255,601.385
10/02/2025,605.73,43765410,607.06,607.16,602.93
10/01/2025,603.25,46899610,597.17,603.79,596.34
09/30/2025,600.37,46533810,598.43,600.71,596.10
09/29/2025,598.73,48332930,599.11,602.05,597.41
09/26/2025,595.97,54337420,594.35,596.30,591.06
09/25/2025,593.53,70920210,592.20,595.115,588.50
09/24/2025,596.10,49850300,599.58,599.90,593.36
09/23/2025,598.20,64635490,602.37,602.57,596.98
09/22/2025,602.20,57154770,597.74,602.87,597.72
09/19/2025,599.35,58196110,597.33,600.05,595.85
09/18/2025,595.32,61069290,594.91,598.14,592.96
09/17/2025,590.00,69384820,591.10,591.75,584.365
09/16/2025,591.18,36942130,592.61,592.86,590.49
09/15/2025,591.68,44360320,588.44,591.79,588.295
09/12/2025,586.66,50745890,585.04,587.86,584.10
09/11/2025,584.08,44745770,583.24,584.88,581.62
09/10/2025,580.70,49307960,583.74,583.77,578.55
09/09/2025,580.51,44007590,579.67,580.94,577.04
