Date,Close/Last,Volume,Open,High,Low
03/03/2026,$28.67,45891170,$27.79,$28.75,$27.76
03/02/2026,$28.01,39270910,$27.91,$28.25,$27.87
02/27/2026,$28.01,54509330,$27.61,$28.01,$27.51
02/26/2026,$27.46,33856840,$27.98,$28.05,$27.41
02/25/2026,$27.87,45550690,$28.03,$28.29,$27.70
02/24/2026,$28.35,34541660,$28.52,$28.80,$28.19
02/23/2026,$28.52,41169260,$28.04,$28.83,$28.03
02/20/2026,$27.98,25383650,$27.95,$28.06,$27.54
02/19/2026,$27.88,31221880,$28.015,$28.395,$27.73
02/18/2026,$27.88,33179280,$28.63,$28.715,$27.82
02/17/2026,$28.68,29868900,$28.755,$29.06,$28.63
02/13/2026,$28.69,42687510,$28.68,$28.84,$28.41
02/12/2026,$28.80,70553060,$28.48,$29.30,$28.46
02/11/2026,$28.47,64213330,$27.275,$28.60,$27.135
02/10/2026,$27.41,34925950,$27.075,$27.59,$27.075
02/09/2026,$27.11,33057760,$27.095,$27.195,$26.825
02/06/2026,$27.13,37410380,$27.26,$27.38,$26.93
02/05/2026,$27.31,44672420,$27.40,$27.52,$26.96
02/04/2026,$27.22,52448300,$27.09,$27.495,$26.89
02/03/2026,$26.83,61110350,$26.11,$26.985,$26.11
02/02/2026,$26.30,66563970,$26.29,$26.635,$26.19
01/30/2026,$26.21,78227460,$25.50,$26.29,$25.145
01/29/2026,$25.13,73255250,$24.45,$25.13,$24.43
01/28/2026,$24.07,84121870,$23.42,$24.33,$23.36
01/27/2026,$23.00,72164360,$23.50,$23.50,$22.95
01/26/2026,$23.45,44376020,$23.70,$23.80,$23.36
01/23/2026,$23.59,36056770,$23.50,$23.645,$23.30
01/22/2026,$23.58,30388280,$23.57,$23.825,$23.50
01/21/2026,$23.50,40672130,$23.47,$23.7897,$23.47
01/20/2026,$23.45,51781070,$23.37,$23.60,$23.275
01/16/2026,$23.49,46504810,$23.66,$23.66,$23.39
01/15/2026,$23.73,35919470,$23.61,$23.80,$23.50
01/14/2026,$23.61,51414810,$23.33,$23.72,$23.325
01/13/2026,$23.30,40890590,$23.69,$23.75,$23.19
01/12/2026,$23.74,40700090,$23.76,$23.90,$23.62
01/09/2026,$23.99,30811010,$24.15,$24.32,$23.98
01/08/2026,$24.17,43770370,$23.99,$24.32,$23.98
01/07/2026,$23.97,46998350,$24.44,$24.545,$23.90
01/06/2026,$24.34,59966250,$24.515,$24.53,$23.87
01/05/2026,$24.71,48958070,$24.405,$24.75,$24.37
01/02/2026,$24.56,28718400,$24.79,$24.81,$24.50
12/31/2025,$24.84,22911040,$24.79,$24.97,$24.78
12/30/2025,$24.81,21047880,$24.77,$24.86,$24.73
12/29/2025,$24.77,30322140,$24.68,$24.94,$24.678
12/26/2025,$24.65,16070070,$24.61,$24.765,$24.59
12/24/2025,$24.66,13904060,$24.37,$24.71,$24.37
12/23/2025,$24.46,20869080,$24.275,$24.53,$24.26
12/22/2025,$24.30,29049260,$24.15,$24.45,$24.09
12/19/2025,$24.15,89822260,$24.21,$24.28,$24.02
12/18/2025,$24.26,31038790,$24.305,$24.55,$24.23
12/17/2025,$24.36,39455090,$24.105,$24.45,$24.08
12/16/2025,$24.07,35701970,$24.36,$24.39,$24.01
12/15/2025,$24.31,37162470,$24.49,$24.625,$24.22
12/12/2025,$24.58,34207690,$24.39,$24.81,$24.265
12/11/2025,$24.30,38931830,$24.46,$24.7099,$24.27
12/10/2025,$24.39,48955410,$24.56,$24.6005,$24.275
12/09/2025,$24.51,41499590,$24.84,$24.99,$24.36
12/08/2025,$24.84,41475010,$25.34,$25.34,$24.69
12/05/2025,$25.28,28075580,$25.36,$25.64,$25.25
12/04/2025,$25.39,33035150,$25.37,$25.56,$25.23
12/03/2025,$25.32,29138410,$25.555,$25.82,$25.31
12/02/2025,$25.52,30839720,$25.83,$25.87,$25.45
12/01/2025,$25.79,34681950,$25.95,$25.97,$25.55
11/28/2025,$26.02,16345750,$25.82,$26.02,$25.7601
11/26/2025,$25.82,27713020,$25.83,$26.07,$25.80
11/25/2025,$25.86,44336240,$25.76,$26.205,$25.75
11/24/2025,$25.62,66605910,$25.99,$26.015,$25.43
11/21/2025,$25.93,59017120,$25.515,$26.18,$25.50
11/20/2025,$25.52,44631820,$25.25,$25.63,$25.12
11/19/2025,$25.27,34296930,$25.60,$25.67,$25.09
11/18/2025,$25.60,41527550,$25.54,$25.77,$25.34
11/17/2025,$25.47,34519870,$25.63,$25.71,$25.43
11/14/2025,$25.59,37390170,$25.87,$25.93,$25.44
11/13/2025,$25.75,49785590,$25.65,$25.96,$25.555
11/12/2025,$25.65,44096990,$25.44,$25.73,$25.41
11/11/2025,$25.18,40962710,$24.93,$25.30,$24.88
11/10/2025,$24.83,52677550,$24.74,$24.94,$24.61
11/07/2025,$24.83,62439990,$24.81,$25.10,$24.64
11/06/2025,$24.74,71665300,$24.29,$24.99,$24.29
11/05/2025,$24.56,61112230,$24.46,$24.73,$24.43
11/04/2025,$24.44,75032670,$24.47,$24.56,$24.29
11/03/2025,$24.53,89327680,$24.635,$24.635,$24.08
10/31/2025,$24.75,89936750,$24.63,$24.99,$24.51
10/30/2025,$24.68,82167820,$24.99,$25.175,$24.615
10/29/2025,$25.14,102715000,$26.12,$26.21,$24.985
10/28/2025,$25.70,77662460,$25.41,$25.78,$25.31
10/27/2025,$25.53,86220430,$25.08,$25.565,$24.965
10/24/2025,$25.14,80553700,$24.635,$25.19,$24.57
